100000
0 1 2
10000 3 4
20000 5 6
30000 7 8
40000 9 10
50000 11 12
60000 13 14
70000 15 16
80000 17 18
90000 19 20
100000 21 22
110000 23 24
120000 25 26
130000 27 28
140000 29 30
150000 31 32
160000 33 34
170000 35 36
180000 37 38
190000 39 40
200000 41 42
210000 43 44
220000 45 46
230000 47 48
240000 49 50
250000 51 52
260000 53 54
270000 55 56
280000 57 58
290000 59 60
300000 61 62
310000 63 64
320000 65 66
330000 67 68
340000 69 70
350000 71 72
360000 73 74
370000 75 76
380000 77 78
390000 79 80
400000 81 82
410000 83 84
420000 85 86
430000 87 88
440000 89 90
450000 91 92
460000 93 94
470000 95 96
480000 97 98
490000 99 100
500000 101 102
510000 103 104
520000 105 106
530000 107 108
540000 109 110
550000 111 112
560000 113 114
570000 115 116
580000 117 118
590000 119 120
600000 121 122
610000 123 124
620000 125 126
630000 127 128
640000 129 130
650000 131 132
660000 133 134
670000 135 136
680000 137 138
690000 139 140
700000 141 142
710000 143 144
720000 145 146
730000 147 148
740000 149 150
750000 151 152
760000 153 154
770000 155 156
780000 157 158
790000 159 160
800000 161 162
810000 163 164
820000 165 166
830000 167 168
840000 169 170
850000 171 172
860000 173 174
870000 175 176
880000 177 178
890000 179 180
900000 181 182
910000 183 184
920000 185 186
930000 187 188
940000 189 190
950000 191 192
960000 193 194
970000 195 196
980000 197 198
990000 199 200
1000000 201 202
1010000 203 204
1020000 205 206
1030000 207 208
1040000 209 210
1050000 211 212
1060000 213 214
1070000 215 216
1080000 217 218
1090000 219 220
1100000 221 222
1110000 223 224
1120000 225 226
1130000 227 228
1140000 229 230
1150000 231 232
1160000 233 234
1170000 235 236
1180000 237 238
1190000 239 240
1200000 241 242
1210000 243 244
1220000 245 246
1230000 247 248
1240000 249 250
1250000 251 252
1260000 253 254
1270000 255 256
1280000 257 258
1290000 259 260
1300000 261 262
1310000 263 264
1320000 265 266
1330000 267 268
1340000 269 270
1350000 271 272
1360000 273 274
1370000 275 276
1380000 277 278
1390000 279 280
1400000 281 282
1410000 283 284
1420000 285 286
1430000 287 288
1440000 289 290
1450000 291 292
1460000 293 294
1470000 295 296
1480000 297 298
1490000 299 300
1500000 301 302
1510000 303 304
1520000 305 306
1530000 307 308
1540000 309 310
1550000 311 312
1560000 313 314
1570000 315 316
1580000 317 318
1590000 319 320
1600000 321 322
1610000 323 324
1620000 325 326
1630000 327 328
1640000 329 330
1650000 331 332
1660000 333 334
1670000 335 336
1680000 337 338
1690000 339 340
1700000 341 342
1710000 343 344
1720000 345 346
1730000 347 348
1740000 349 350
1750000 351 352
1760000 353 354
1770000 355 356
1780000 357 358
1790000 359 360
1800000 361 362
1810000 363 364
1820000 365 366
1830000 367 368
1840000 369 370
1850000 371 372
1860000 373 374
1870000 375 376
1880000 377 378
1890000 379 380
1900000 381 382
1910000 383 384
1920000 385 386
1930000 387 388
1940000 389 390
1950000 391 392
1960000 393 394
1970000 395 396
1980000 397 398
1990000 399 400
2000000 401 402
2010000 403 404
2020000 405 406
2030000 407 408
2040000 409 410
2050000 411 412
2060000 413 414
2070000 415 416
2080000 417 418
2090000 419 420
2100000 421 422
2110000 423 424
2120000 425 426
2130000 427 428
2140000 429 430
2150000 431 432
2160000 433 434
2170000 435 436
2180000 437 438
2190000 439 440
2200000 441 442
2210000 443 444
2220000 445 446
2230000 447 448
2240000 449 450
2250000 451 452
2260000 453 454
2270000 455 456
2280000 457 458
2290000 459 460
2300000 461 462
2310000 463 464
2320000 465 466
2330000 467 468
2340000 469 470
2350000 471 472
2360000 473 474
2370000 475 476
2380000 477 478
2390000 479 480
2400000 481 482
2410000 483 484
2420000 485 486
2430000 487 488
2440000 489 490
2450000 491 492
2460000 493 494
2470000 495 496
2480000 497 498
2490000 499 500
2500000 501 502
2510000 503 504
2520000 505 506
2530000 507 508
2540000 509 510
2550000 511 512
2560000 513 514
2570000 515 516
2580000 517 518
2590000 519 520
2600000 521 522
2610000 523 524
2620000 525 526
